"category","name","description","video","sets","reps","symptoms","patient_symptoms"
"The Shoulder Rehabilitation","Pendulum Swings","Gentle exercise to increase shoulder mobility post-injury or surgery.","https://www.youtube.com/watch?v=S4H_rZA2kSM",3,10,"Shoulder Pain, Range of motion (restriction, tightness), Swelling, Weakness in the shoulder or arm, Stiffness, Discomfort while lifting or reaching overhead, Instability or a feeling of weakness in the shoulder joint, Numbness or tingling in the shoulder or arm","Shoulder Pain, i am having shoulder pain and the high pain in shoulder, Swelling near the shoulder area , Weakness in the shoulder, Weakness in the arm, Stiffness in the shoulder, Discomfort while lifting or reaching overhead, Instability or a feeling of weakness in the shoulder joint, Numbness or tingling in the shoulder or arm"
"The Shoulder Rehabilitation","Shoulder External Rotation with Resistance Band","Strengthens the rotator cuff muscles to improve shoulder stability.","https://www.youtube.com/watch?v=YMytSEYr2yU",3,15,"Weakness in the shoulder or arm, Range of motion (restriction, tightness), Stiffness, Discomfort while lifting or reaching overhead, Instability or a feeling of weakness in the shoulder joint","Shoulder Pain, i am having shoulder pain and the high pain in shoulder, Swelling near the shoulder area , Weakness in the shoulder, Weakness in the arm, Stiffness in the shoulder, Discomfort while lifting or reaching overhead, Instability or a feeling of weakness in the shoulder joint, Numbness or tingling in the shoulder or arm"
"The Shoulder Rehabilitation","Wall Slides","Enhances shoulder flexibility and range of motion.","https://www.youtube.com/watch?v=QVyMMFR6hec",3,12,"Range of motion (restriction, tightness), Swelling, Weakness in the shoulder or arm, Stiffness, Instability or a feeling of weakness in the shoulder joint","Shoulder Pain, i am having shoulder pain and the high pain in shoulder, Swelling near the shoulder area , Weakness in the shoulder, Weakness in the arm, Stiffness in the shoulder, Discomfort while lifting or reaching overhead, Instability or a feeling of weakness in the shoulder joint, Numbness or tingling in the shoulder or arm"
"Knee Rehabilitation","Straight Leg Raises","Strengthens the quadriceps without bending the knee.","https://www.youtube.com/watch?v=Vq_S9BR01Ug",3,15,"Swelling, Limited knee flexion (difficulty bending the knee), Weakness in the quadriceps or hamstrings, Stiffness or tightness in the knee, Instability or feeling of knee 'giving way', Tenderness around the knee joint","Swelling, Limited knee flexion, difficulty bending the knee), Weakness in the quadriceps or hamstrings, Stiffness or tightness in the knee, Instability or feeling of knee 'giving way', Tenderness around the knee joint"
"Knee Rehabilitation","Quadriceps Sets","Isometric exercise to activate and strengthen the quadriceps.","https://www.youtube.com/watch?v=Vq_S9BR01Ug",3,10,"Swelling, Weakness in the quadriceps, Tenderness around the knee joint","Swelling, Limited knee flexion, difficulty bending the knee), Weakness in the quadriceps or hamstrings, Stiffness or tightness in the knee, Instability or feeling of knee 'giving way', Tenderness around the knee joint"
"Knee Rehabilitation","Heel Slides","Improves knee flexion range of motion post-surgery or injury.","https://www.youtube.com/watch?v=Vq_S9BR01Ug",3,12,"Limited knee flexion (difficulty bending the knee), Swelling, Weakness in the quadriceps or hamstrings, Stiffness or tightness in the knee","Swelling, Limited knee flexion, difficulty bending the knee), Weakness in the quadriceps or hamstrings, Stiffness or tightness in the knee, Instability or feeling of knee 'giving way', Tenderness around the knee joint"
"Hip Rehabilitation","Clamshells","Targets hip abductors to improve hip stability.","https://www.youtube.com/watch?v=cLQcXGYKigg",3,15,"Limited range of motion (e.g., difficulty moving the hip outward or inward), Weakness in the hip or thigh muscles, Stiffness or tightness in the hip joint, Instability or a feeling of hip dislocation, Pain during walking or weight-bearing","Limited range of motion (e.g., difficulty moving the hip outward or inward), Weakness in the hip or thigh muscles, Stiffness or tightness in the hip joint, Instability or a feeling of hip dislocation, Pain during walking or weight-bearing"
"Hip Rehabilitation","Side-Lying Leg Raises","Strengthens hip abductors and improves lateral hip movement.","https://www.youtube.com/watch?v=cLQcXGYKigg",3,12,"Limited range of motion (difficulty moving the hip outward or inward), Weakness in the hip or thigh muscles, Stiffness or tightness in the hip joint, Instability or a feeling of hip dislocation","Limited range of motion (e.g., difficulty moving the hip outward or inward), Weakness in the hip or thigh muscles, Stiffness or tightness in the hip joint, Instability or a feeling of hip dislocation, Pain during walking or weight-bearing"
"Hip Rehabilitation","Hip Flexor Stretches","Enhances flexibility of the hip flexor muscles.","https://www.youtube.com/watch?v=cLQcXGYKigg",3,10,"Stiffness or tightness in the hip joint, Weakness in the hip or thigh muscles, Pain during walking or weight-bearing","Limited range of motion (e.g., difficulty moving the hip outward or inward), Weakness in the hip or thigh muscles, Stiffness or tightness in the hip joint, Instability or a feeling of hip dislocation, Pain during walking or weight-bearing"
"Ankle and Foot Rehabilitation","Ankle Pumps","Improves circulation and prevents stiffness in the ankle joint.","https://www.youtube.com/watch?v=PLVFCd_4qJSQK3f_mbroW8EjKWXeNpL6JU",3,20,"Swelling or edema around the ankle or foot, Weakness or instability when standing or walking, Difficulty moving toes or foot (lack of mobility), Tightness in the ankle joint, Numbness or tingling sensation in the foot or ankle","Swelling or edema around the ankle or foot, Weakness or instability when standing or walking, Difficulty moving toes or foot (lack of mobility), Tightness in the ankle joint, Numbness or tingling sensation in the foot or ankle"
"Ankle and Foot Rehabilitation","Toe Curls with a Towel","Strengthens the intrinsic muscles of the foot.","https://www.youtube.com/watch?v=PLVFCd_4qJSQK3f_mbroW8EjKWXeNpL6JU",3,15,"Weakness or instability when standing or walking, Difficulty moving toes or foot (lack of mobility)","Swelling or edema around the ankle or foot, Weakness or instability when standing or walking, Difficulty moving toes or foot (lack of mobility), Tightness in the ankle joint, Numbness or tingling sensation in the foot or ankle"
